# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-18 16:24:10 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14076500 DESCHUTES RIVER NEAR CULVER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14076500
#            TS   parameter     statistic     Description
#        113391       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        113392       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        113393       00010     00003     Temperature, water, degrees Celsius (Mean)
#        113394       00060     00003     Discharge, cubic feet per second (Mean)
#        218322       00011     00001     Temperature, water, degrees Fahrenheit (Maximum)
#        218323       00011     00002     Temperature, water, degrees Fahrenheit (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	113394_00060_00003	113394_00060_00003_cd	218322_00011_00001	218322_00011_00001_cd	218323_00011_00002	218323_00011_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	14076500	1952-09-01	710	A	58.0	A	56.0	A
USGS	14076500	1952-09-02	705	A	58.0	A	56.0	A
USGS	14076500	1952-09-03	700	A	59.0	A	58.0	A
USGS	14076500	1952-09-04	725	A	59.0	A	57.0	A
USGS	14076500	1952-09-05	750	A	58.0	A	56.0	A
USGS	14076500	1952-09-06	740	A	58.0	A	57.0	A
USGS	14076500	1952-09-07	762	A	57.0	A	55.0	A
USGS	14076500	1952-09-08	794	A	57.0	A	55.0	A
USGS	14076500	1952-09-09	914	A	56.0	A	54.0	A
USGS	14076500	1952-09-10	968	A	56.0	A	54.0	A
USGS	14076500	1952-09-11	998	A	56.0	A	54.0	A
USGS	14076500	1952-09-12	1040	A	57.0	A	56.0	A
USGS	14076500	1952-09-13	1080	A	57.0	A	54.0	A
USGS	14076500	1952-09-14	1100	A	56.0	A	54.0	A
USGS	14076500	1952-09-15	1070	A	56.0	A	54.0	A
USGS	14076500	1952-09-16	1100	A	57.0	A	55.0	A
USGS	14076500	1952-09-17	1110	A	58.0	A	56.0	A
USGS	14076500	1952-09-18	1090	A	58.0	A	56.0	A
USGS	14076500	1952-09-19	1050	A	59.0	A	56.0	A
USGS	14076500	1952-09-20	1010	A	59.0	A	57.0	A
USGS	14076500	1952-09-21	896	A	59.0	A	56.0	A
USGS	14076500	1952-09-22	842	A	58.0	A	56.0	A
USGS	14076500	1952-09-23	836	A	58.0	A	56.0	A
USGS	14076500	1952-09-24	794	A	58.0	A	56.0	A
USGS	14076500	1952-09-25	762	A	58.0	A	56.0	A
USGS	14076500	1952-09-26	772	A	58.0	A	57.0	A
USGS	14076500	1952-09-27	740	A	58.0	A	55.0	A
USGS	14076500	1952-09-28	710	A	57.0	A	54.0	A
USGS	14076500	1952-09-29	663	A	55.0	A	53.0	A
USGS	14076500	1952-09-30	644	A	55.0	A	54.0	A
USGS	14076500	1952-10-01	620	A	55.0	A	54.0	A
USGS	14076500	1952-10-02	599	A	55.0	A	54.0	A
