Date,SUMMER STEELHEAD_Hatchery,SUMMER STEELHEAD_Wild,SUMMER STEELHEAD_RM,SUMMER STEELHEAD_LM,SPRING CHINOOK_Hachery,SPRING CHINOOK_Wild,SPRING CHINOOK_RM,SPRING CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall Chinook,Bull Trout,Rainbow Trout,Total
1/3/2014,28,,,,,,,,,,,,1,13,42
1/6/2014,13,,,,,,,,,,,1,,11,25
1/8/2014,25,,1,,,,,,,,,1,,13,40
1/10/2014,11,1,,,,,,,,,,5,,7,24
1/13/2014,44,,,,,,,,,,,2,,19,65
1/15/2014,14,,,1,,,,,,,,4,,,19
1/17/2014,41,,1,,,,,,,,,1,,36,79
1/21/2014,18,,1,,,,,,,,,2,,16,37
1/22/2014,10,1,,,,,,,,,,1,,5,17
1/24/2014,12,,1,,,,,,,,,3,,5,21
1/27/2014,6,,,1,,,,,,,,,,1,8
1/29/2014,13,,,,,,,,,,,,,6,19
1/31/2014,23,,,1,,,,,,,,1,,1,26
2/3/2014,35,1,,,,,,,,,,2,,9,47
2/5/2014,33,,,,,,,,,,,2,,14,49
2/7/2014,6,,1,,,,,,,,,,,7,14
2/12/2014,7,,,,,,,,,,,1,,3,11
2/14/2014,14,1,,,,,,,,,,,,4,19
2/17/2014,46,3,1,,,,,,,,,1,,49,100
2/19/2014,83,8,1,1,,,,,,,,,,57,150
2/21/2014,17,2,3,1,,,,,,,,,,25,48
2/24/2014,45,,1,,,,,,,,,,,25,71
2/26/2014,13,,,,,,,,,,,,,3,16
2/28/2014,33,,,,,,,,,,,1,,6,40
3/3/2014,17,,,,,,,,,,,,,1,18
3/5/2014,21,,1,,,,,,,,,,,5,27
3/7/2014,31,3,1,,,,,,,,,,,13,48
3/10/2014,63,3,,,,,,,,,,,,44,110
3/12/2014,23,,,,,,,,,,,,,27,50
3/14/2014,14,,,,,,,,,,,,,6,20
3/17/2014,33,1,,,,,,,,,,,,32,66
3/19/2014,13,,,,,,,,,,,,,19,32
3/21/2014,7,2,,,,,,,,,,,,6,15
3/24/2014,4,,,,,,,,,,,,,6,10
3/26/2014,18,5,1,,,,,,,,,,,12,36
3/28/2014,12,1,,,,,,,,,,,,5,18
3/31/2014,8,,,,,,,,,,,,,18,26
4/2/2014,2,,1,,,,,,,,,,,9,12
4/7/2014,2,,,,,,,,,,,,,1,3
4/9/2014,1,,,,,,,,,,,,,,1
4/11/2014,,,,1,,,,,,,,,,1,2
4/14/2014,,,,,,,,,,,,,,6,6
4/16/2014,,,,,,,,,,,,,,2,2
4/21/2014,,,,,,,,,,,,,,1,1
4/23/2014,,1,,,,,,,,,,,,,1
4/25/2014,,1,,,,,,,,,,,,2,3
4/28/2014,,1,,,,,,,,,,,,6,7
4/30/2014,,,,,,,,,,,,,,2,2
5/2/2014,,,,,,,,,,,,,,4,4
5/5/2014,,,,,,,,,,,,,,7,7
5/7/2014,1,,,,2,,,,,,,,,19,22
5/9/2014,,1,,,1,,3,,,,,,,21,26
5/12/2014,,,,,10,,1,,,,,,,10,21
5/14/2014,,,,,15,,1,,,,,,,6,22
5/16/2014,,,,,26,2,,1,,,,,,8,37
5/19/2014,,,,,15,3,1,,,,,,,3,22
5/21/2014,,,,,1,,,,,,,,,1,2
5/23/2014,,,,,27,,1,,,,,,1,29,58
5/26/2014,,,,,13,,2,2,,,,,,22,39
5/28/2014,,,,,44,2,1,,,,,,1,27,75
5/30/2014,,,,,38,,3,,,,,,,14,55
6/2/2014,,,,,38,1,1,,,,,,,7,47
6/4/2014,,,,,14,1,,,,,,,,5,20
6/6/2014,,,,,21,1,,,,,,,1,3,26
6/9/2014,,,,,34,,1,,,,,,,24,59
6/11/2014,,,,,23,,1,,,,,,,21,45
6/13/2014,,,,,12,,1,,,,,,,12,25
6/16/2014,,,,,14,2,,,,,,,,24,40
6/18/2014,,,,,5,,,,,,,,1,8,14
6/19/2014,,,,,2,,,,,,,,,,2
6/23/2014,,,,,3,,,,,,,,,6,9
6/25/2014,,,,,6,1,1,,,,,,,1,9
6/27/2014,,,,,7,,,,,,,,,2,9
6/30/2014,,,,,16,,1,,,,,,,5,22
7/3/2014,,,,,15,2,,,,,,,,7,24
7/7/2014,,,,,6,1,1,,,,,2,,6,16
7/9/2014,,,,,9,,,,,,,,1,2,12
7/11/2014,,,,,9,1,,,,,,,,9,19
7/14/2014,,,,,5,1,,,,,,,,5,11
7/16/2014,,,,,8,,,,,,,1,,5,14
7/18/2014,,,,,4,1,,,,,,,,16,21
7/21/2014,,,,,6,1,,1,,1,,1,,15,25
7/23/2014,,,,,11,,,,,1,,2,,5,19
7/25/2014,,,,,6,1,,,,,,,,1,8
7/28/2014,,,,,2,3,,,,1,,,,4,10
7/30/2014,,,,,3,1,,,,,,,,1,5
8/1/2014,,,,,4,,,,1,3,,,,1,9
8/4/2014,,,,,,,,,,,,,1,2,3
8/6/2014,,,,,,1,,,,1,,,,1,3
8/8/2014,,,,,2,1,,,,,,,,2,5
8/11/2014,,,,,,,,,,1,,,1,1,3
8/13/2014,,,,,2,2,,,,2,,,,,6
8/15/2014,,,,,,2,,,,,,,,1,3
8/18/2014,,,,,2,4,,,1,3,,,,5,15
8/20/2014,,,,,1,1,,,2,5,,,,2,11
8/22/2014,,,,,3,,,,2,,,,,2,7
8/25/2014,,,,,1,,,,,2,,,,,3
8/27/2014,,,,,3,2,,,,,,,,,5
8/29/2014,,,,,,,,,,,,,,2,2
9/2/2014,,,,,1,1,,,,,,,,,2
9/3/2014,,,,,,1,,,,,,,,,1
9/5/2014,,,,,,2,,,,,,,,,2
9/8/2014,,,,,1,,,,,,,,,,1
9/12/2014,3,,,,,,,,,,,1,,,4
9/15/2014,3,,,,,,,,,,,,,,3
9/18/2014,3,,,,,,,,,,,,,,3
9/22/2014,10,1,,,,,,,,,,,,2,13
9/24/2014,6,1,2,,,1,,,,1,,,,,11
9/26/2014,12,1,1,,,,,,,,,,,2,16
9/29/2014,19,3,6,2,,,,,,,,,,,30
10/1/2014,10,,2,,,,,,,,,4,,8,24
10/3/2014,17,2,1,,,,,,,,,1,,6,27
10/6/2014,10,2,1,,,,,,,,,5,,2,20
10/8/2014,24,,1,,,,,,,,,4,,,29
10/10/2014,24,,1,,,,,,,,,7,,1,33
10/13/2014,34,1,1,1,,,,,,,,29,,10,76
10/15/2014,19,2,1,,,,,,,,,3,,3,28
10/17/2014,17,,,,,,,,,,,18,,5,40
10/20/2014,29,2,2,,,,,,,,,43,,6,82
10/22/2014,45,4,3,,,,,,,,,32,,10,94
10/24/2014,36,1,1,,,,,,,,,12,,12,62
10/27/2014,58,4,1,,,,,,,,,70,1,9,143
10/29/2014,87,2,2,,,,,,,,,31,,9,131
10/31/2014,39,,1,,,,,,,,,41,1,6,88
11/3/2014,21,2,,,,,,,,,,66,1,6,96
11/5/2014,18,2,,,,,,,,,,32,,5,57
11/7/2014,39,,,,,,,,,,,26,1,7,73
11/10/2014,38,2,3,,,,,,,,,107,1,11,162
11/11/2014,26,,1,,,,,,,,,30,,2,59
11/12/2014,14,,,,,,,,,,,55,,,69
