agency_cd	site_no	datetime	113433_00010_00001	113433_00010_00001_cd	113434_00010_00002	113434_00010_00002_cd	113435_00010_00003	113435_00010_00003_cd	113436_00060_00003	113436_00060_00003_cd
USGS	14092500	3/11/52	7.8	A	7.8	A			6030	A
USGS	14092500	3/12/52	7.8	A	7.2	A			6140	A
USGS	14092500	3/13/52	7.8	A	7.2	A			6010	A
USGS	14092500	3/14/52	7.8	A	7.2	A			5890	A
USGS	14092500	3/15/52	7.8	A	7.2	A			5840	A
USGS	14092500	3/16/52	8.3	A	7.2	A			5860	A
USGS	14092500	3/17/52	8.3	A	7.8	A			5880	A
USGS	14092500	3/18/52	7.8	A	7.8	A			6000	A
USGS	14092500	3/19/52	7.8	A	7.2	A			6200	A
USGS	14092500	3/20/52	7.2	A	6.7	A			6000	A
USGS	14092500	3/21/52	7.8	A	7.2	A			5800	A
USGS	14092500	3/22/52	8.3	A	7.2	A			5600	A
USGS	14092500	3/23/52	8.9	A	8.3	A			5600	A
USGS	14092500	3/24/52	8.9	A	8.3	A			5880	A
USGS	14092500	3/25/52	9.4	A	8.9	A			6750	A
USGS	14092500	3/26/52	9.4	A	8.3	A			9050	A
USGS	14092500	3/27/52	8.3	A	8.3	A			11400	A
USGS	14092500	3/28/52	8.9	A	8.3	A			12300	A
USGS	14092500	3/29/52	8.9	A	7.8	A			11500	A
USGS	14092500	3/30/52	7.8	A	7.8	A			11100	A
USGS	14092500	3/31/52	7.8	A	7.2	A			9950	A
USGS	14092500	4/1/52	7.8	A	7.8	A			9050	A
USGS	14092500	4/2/52	8.9	A	7.8	A			8820	A
USGS	14092500	4/3/52	8.9	A	8.3	A			8740	A
USGS	14092500	4/4/52	9.4	A	8.9	A			9220	A
USGS	14092500	4/5/52	10.6	A	9.4	A			9640	A
USGS	14092500	4/6/52	10.6	A	10.6	A			10500	A
USGS	14092500	4/7/52	10.6	A	9.4	A			11600	A
USGS	14092500	4/8/52	9.4	A	8.9	A			12100	A
USGS	14092500	4/9/52	8.9	A	8.9	A			11300	A
USGS	14092500	4/10/52	9.4	A	8.9	A			9760	A
USGS	14092500	4/11/52	10	A	9.4	A			9340	A
USGS	14092500	4/12/52	10	A	9.4	A			9260	A
USGS	14092500	4/13/52	10.6	A	10	A			9150	A
USGS	14092500	4/14/52	10	A	9.4	A			9150	A
