agency_cd	site_no	datetime	113455_00010_00001	113455_00010_00001_cd	113456_00010_00002	113456_00010_00002_cd	113457_00010_00003	113457_00010_00003_cd	113458_00060_00003	113458_00060_00003_cd	265533_00010_00011	265533_00010_00011_cd
USGS	14103000	12/29/52							4990	A	4.4	A
USGS	14103000	12/30/52							5080	A	6.7	A
USGS	14103000	12/31/52							4840	A		
USGS	14103000	1/1/53							4610	A		
USGS	14103000	1/2/53							4690	A	6.1	A
USGS	14103000	1/3/53							5080	A		
USGS	14103000	1/4/53							5080	A	7.2	A
USGS	14103000	1/5/53							5230	A		
USGS	14103000	1/6/53							5110	A	5.6	A
USGS	14103000	1/7/53							5140	A	7.2	A
USGS	14103000	1/8/53							5540	A	6.7	A
USGS	14103000	1/9/53							13300	A	7.8	A
USGS	14103000	1/10/53							10500	A	6.7	A
USGS	14103000	1/11/53							7720	A	6.7	A
USGS	14103000	1/12/53							8430	A	7.8	A
USGS	14103000	1/13/53							9090	A	7.8	A
USGS	14103000	1/14/53							8540	A	7.2	A
USGS	14103000	1/15/53							7760	A	6.7	A
USGS	14103000	1/16/53							7340	A		
USGS	14103000	1/17/53							8180	A	7.8	A
USGS	14103000	1/18/53							11200	A	7.8	A
USGS	14103000	1/19/53							18300	A	6.7	A
USGS	14103000	1/20/53							17900	A	6.1	A
USGS	14103000	1/21/53							16600	A		
USGS	14103000	1/22/53							13400	A		
USGS	14103000	1/23/53							12500	A		
USGS	14103000	1/24/53							11100	A		
USGS	14103000	1/25/53							9760	A		
USGS	14103000	1/26/53							9420	A	6.1	A
USGS	14103000	1/27/53							8750	A	6.1	A
USGS	14103000	1/28/53							8250	A	6.1	A
USGS	14103000	1/29/53							8470	A	6.7	A
USGS	14103000	1/30/53							8320	A	7.2	A
USGS	14103000	1/31/53							8720	A	7.8	A
USGS	14103000	2/1/53							9090	A	7.8	A
USGS	14103000	2/2/53							9460	A	7.8	A
USGS	14103000	2/3/53							10200	A	7.2	A
USGS	14103000	2/4/53							12100	A	7.8	A
USGS	14103000	2/5/53							12900	A	7.2	A
USGS	14103000	2/6/53							14800	A	6.7	A
USGS	14103000	2/7/53							14000	A	7.2	A
USGS	14103000	2/8/53							14200	A	7.2	A
USGS	14103000	2/9/53							13400	A	5.6	A
USGS	14103000	2/10/53							12500	A	4.4	A
USGS	14103000	2/11/53							10700	A	5.6	A
USGS	14103000	2/12/53							9830	A	6.1	A
USGS	14103000	2/13/53							9310	A	6.1	A
USGS	14103000	2/14/53							8900	A	6.7	A
USGS	14103000	2/15/53							8540	A	6.7	A
USGS	14103000	2/16/53							8290	A	6.1	A
USGS	14103000	2/17/53							8860	A	6.7	A
USGS	14103000	2/18/53							9720	A	6.1	A
USGS	14103000	2/19/53							8750	A	5.6	A
USGS	14103000	2/20/53							8180	A	5.6	A
USGS	14103000	2/21/53							7960	A	6.1	A
USGS	14103000	2/22/53							7860	A	6.1	A
USGS	14103000	2/23/53							7760	A	5.6	A
USGS	14103000	2/24/53							7540	A	5.6	A
USGS	14103000	2/25/53							7400	A	6.1	A
USGS	14103000	2/26/53							7370	A	6.7	A
USGS	14103000	2/27/53							7370	A	7.2	A
USGS	14103000	2/28/53							7130	A	7.8	A
USGS	14103000	3/1/53							7030	A	7.2	A
USGS	14103000	3/2/53							6890	A	6.1	A
USGS	14103000	3/3/53							6790	A	6.1	A
USGS	14103000	3/4/53							6860	A	7.2	A
USGS	14103000	3/5/53							6760	A	6.7	A
USGS	14103000	3/6/53							6720	A	6.7	A
USGS	14103000	3/7/53							6690	A	7.8	A
USGS	14103000	3/8/53							6720	A	8.3	A
USGS	14103000	3/9/53							6660	A	8.3	A
USGS	14103000	3/10/53							6930	A	8.9	A
USGS	14103000	3/11/53							7270	A	8.9	A
USGS	14103000	3/12/53							7400	A	8.3	A
USGS	14103000	3/13/53							7230	A	8.3	A
USGS	14103000	3/14/53							7060	A	7.8	A
USGS	14103000	3/15/53							6930	A	7.2	A
USGS	14103000	3/16/53							6790	A	7.8	A
USGS	14103000	3/17/53							6930	A	7.2	A
USGS	14103000	3/18/53							6860	A	7.8	A
USGS	14103000	3/19/53							6830	A	7.8	A
USGS	14103000	3/20/53							6890	A	7.8	A
USGS	14103000	3/21/53							6930	A	7.8	A
USGS	14103000	3/22/53							6860	A	7.8	A
USGS	14103000	3/23/53							6890	A	8.3	A
USGS	14103000	3/24/53							7030	A	8.9	A
USGS	14103000	3/25/53							7650	A	8.9	A
USGS	14103000	3/26/53							8180	A	9.4	A
USGS	14103000	3/27/53							8360	A	8.9	A
USGS	14103000	3/28/53							8000	A	8.9	A
USGS	14103000	3/29/53							7960	A	8.9	A
USGS	14103000	3/30/53							8140	A	9.4	A
USGS	14103000	3/31/53							8000	A	7.8	A
USGS	14103000	4/1/53							8000	A	8.3	A
USGS	14103000	4/2/53							7900	A	8.3	A
USGS	14103000	4/3/53							7440	A	10	A
USGS	14103000	4/4/53							7480	A		
USGS	14103000	4/5/53							7650	A		
USGS	14103000	4/6/53							8000	A	8.9	A
USGS	14103000	4/7/53							8140	A	8.9	A
USGS	14103000	4/8/53							8110	A	7.8	A
USGS	14103000	4/9/53							7510	A	7.2	A
USGS	14103000	4/10/53							7200	A	9.4	A
USGS	14103000	4/11/53							6960	A	8.3	A
USGS	14103000	4/12/53							6760	A		
USGS	14103000	4/13/53							6520	A	8.3	A
USGS	14103000	4/14/53							6360	A	8.3	A
USGS	14103000	4/15/53							6200	A	8.3	A
USGS	14103000	4/16/53							6000	A	8.3	A
USGS	14103000	4/17/53							5930	A	9.4	A
USGS	14103000	4/18/53							6000	A	10	A
USGS	14103000	4/19/53							6430	A	10.6	A
USGS	14103000	4/20/53							6590	A	12.8	A
USGS	14103000	4/21/53							7000	A	12.8	A
USGS	14103000	4/22/53							7480	A	12.2	A
USGS	14103000	4/23/53							8140	A	11.7	A
USGS	14103000	4/24/53							8360	A	10.6	A
USGS	14103000	4/25/53							8470	A	11.1	A
USGS	14103000	4/26/53							8290	A	11.7	A
USGS	14103000	4/27/53							8320	A	10	A
USGS	14103000	4/28/53							8940	A	10	A
USGS	14103000	4/29/53							10200	A	9.4	A
USGS	14103000	4/30/53							11100	A	9.4	A
USGS	14103000	5/1/53							9800	A	10	A
USGS	14103000	5/2/53							8720	A	8.9	A
USGS	14103000	5/3/53							7960	A	11.1	A
USGS	14103000	5/4/53							7540	A	12.2	A
USGS	14103000	5/5/53							7370	A		
USGS	14103000	5/6/53							7370	A	11.7	A
USGS	14103000	5/7/53							7510	A	11.7	A
USGS	14103000	5/8/53							7540	A	11.7	A
USGS	14103000	5/9/53							7510	A	9.4	A
USGS	14103000	5/10/53							7270	A	12.8	A
USGS	14103000	5/11/53							6960	A	13.3	A
USGS	14103000	5/12/53							6760	A	10	A
USGS	14103000	5/13/53							6620	A	12.8	A
USGS	14103000	5/14/53							6560	A	12.8	A
USGS	14103000	5/15/53							6560	A	11.1	A
USGS	14103000	5/16/53							6720	A	11.7	A
USGS	14103000	5/17/53							6860	A	11.7	A
USGS	14103000	5/18/53							6890	A	12.8	A
USGS	14103000	5/19/53							7060	A	12.2	A
USGS	14103000	5/20/53							7480	A	9.4	A
USGS	14103000	5/21/53							7680	A	10	A
USGS	14103000	5/22/53							7650	A	8.9	A
USGS	14103000	5/23/53							7400	A	8.3	A
USGS	14103000	5/24/53							7480	A	9.4	A
USGS	14103000	5/25/53							7370	A	10	A
USGS	14103000	5/26/53							7790	A	8.9	A
USGS	14103000	5/27/53							9010	A	8.9	A
USGS	14103000	5/28/53							9010	A	10	A
USGS	14103000	5/29/53							8750	A	10	A
USGS	14103000	5/30/53							8320	A	11.7	A
USGS	14103000	5/31/53							7960	A	10	A
USGS	14103000	6/1/53							7760	A	10	A
USGS	14103000	6/2/53							7620	A	11.1	A
USGS	14103000	6/3/53							7580	A	10.6	A
USGS	14103000	6/4/53							7300	A	10.6	A
USGS	14103000	6/5/53							7100	A		
USGS	14103000	6/6/53							7100	A	10	A
USGS	14103000	6/7/53							7340	A	10	A
USGS	14103000	6/8/53							7540	A	10.6	A
USGS	14103000	6/9/53							7790	A	10.6	A
USGS	14103000	6/10/53							7650	A	10	A
USGS	14103000	6/11/53							7540	A	8.9	A
USGS	14103000	6/12/53							7620	A	11.7	A
USGS	14103000	6/13/53							7790	A	11.1	A
USGS	14103000	6/14/53							8140	A	11.1	A
USGS	14103000	6/15/53							8320	A	11.7	A
USGS	14103000	6/16/53							8000	A	13.9	A
USGS	14103000	6/17/53							7510	A	14.4	A
USGS	14103000	6/18/53							7170	A	13.3	A
USGS	14103000	6/19/53							6890	A	11.7	A
USGS	14103000	6/20/53							6590	A		
USGS	14103000	6/21/53							6330	A	12.8	A
USGS	14103000	6/22/53							6200	A	12.2	A
USGS	14103000	6/23/53							6060	A	9.4	A
USGS	14103000	6/24/53							5830	A	10.6	A
USGS	14103000	6/25/53							5670	A	10.6	A
USGS	14103000	6/26/53							5640	A	12.2	A
