"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"1",1977-06-01,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1977,"Spring","June",9.5
"2",1977-07-01,77,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,1977,"Summer","July",11.5
"3",1977-08-01,184,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,1977,"Summer","August",13
"4",1977-09-01,382,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,1977,"Summer","September",NA
"5",1977-10-01,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,1977,"Fall","October",NA
"6",1978-06-01,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,1978,"Spring","June",9.75
"7",1978-07-01,116,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,1978,"Summer","July",11.8
"8",1978-08-01,170,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,1978,"Summer","August",NA
"9",1978-09-01,292,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,NA,NA,NA,1978,"Summer","September",NA
"10",1978-10-01,183,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,1978,"Fall","October",NA
"11",1979-06-01,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1979,"Spring","June",10.6
"12",1979-07-01,120,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,1979,"Summer","July",11.65
"13",1979-08-01,150,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,1979,"Summer","August",13.05
"14",1979-09-01,641,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,1979,"Summer","September",13.1
"15",1979-10-01,239,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,1979,"Fall","October",13.15
"16",1980-06-01,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1980,"Spring","June",10.6
"17",1980-07-01,92,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,1980,"Summer","July",11.7
"18",1980-08-01,105,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,1980,"Summer","August",13.2
"19",1980-09-01,586,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,1980,"Summer","September",13.5
"20",1980-10-01,316,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,1980,"Fall","October",13.2
"21",1981-06-01,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1981,"Spring","June",10.5
"22",1981-07-01,54,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,1981,"Summer","July",11.75
"23",1981-08-01,118,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,1981,"Summer","August",13
"24",1981-09-01,442,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,NA,NA,NA,1981,"Summer","September",13.75
"25",1981-10-01,166,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,1981,"Fall","October",NA
"26",1982-06-01,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,"Spring","June",9.1
"27",1982-07-01,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,1982,"Summer","July",10.75
"28",1982-08-01,60,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,1982,"Summer","August",NA
"29",1982-09-01,159,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,1982,"Summer","September",12.5
"30",1982-10-01,88,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,1982,"Fall","October",NA
"31",1983-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,"Spring","June",12.1
"32",1983-07-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1983,"Summer","July",12.85
"33",1983-08-01,95,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,1983,"Summer","August",14.25
"34",1983-09-01,523,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,1983,"Summer","September",14.8
"35",1983-10-01,316,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,1983,"Fall","October",13.9
"36",1984-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,"Spring","June",10.3
"37",1984-07-01,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1984,"Summer","July",11.6
"38",1984-08-01,103,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,1984,"Summer","August",13.1
"39",1984-09-01,207,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,1984,"Summer","September",13.7
"40",1984-10-01,38,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1984,"Fall","October",12.95
"41",1985-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,"Spring","June",10.05
"42",1985-07-01,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1985,"Summer","July",NA
"43",1985-08-01,91,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,1985,"Summer","August",NA
"44",1985-09-01,411,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,1985,"Summer","September",13.75
"45",1985-10-01,255,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,1985,"Fall","October",12.75
"46",1986-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"Spring","June",10.9
"47",1986-07-01,42,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,1986,"Summer","July",12
"48",1986-08-01,106,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,1986,"Summer","August",12.95
"49",1986-09-01,744,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,1986,"Summer","September",13.7
"50",1986-10-01,532,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,1986,"Fall","October",12.6
"51",1987-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Spring","June",10.7
