Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
Deschutes River at Deschutes River Park,1962-07-16,8,102,17,9.9,1,620,NA,NA,NA,NA,NA,1962,Summer,197
Deschutes River at Deschutes River Park,1962-10-08,8.4,111,14,11.5,1.8,620,NA,NA,NA,NA,NA,1962,Fall,281
Deschutes River at Deschutes River Park,1963-01-07,7.6,95,5,12.1,1.9,230,NA,NA,NA,NA,NA,1963,Winter,7
Deschutes River at Deschutes River Park,1963-04-16,8.2,101,9,11.7,1.3,60,NA,NA,NA,NA,NA,1963,Spring,106
Deschutes River at Deschutes River Park,1963-07-09,8.2,106,17,10.3,1.1,60,124,0.082,NA,NA,NA,1963,Summer,190
Deschutes River at Deschutes River Park,1964-01-07,8,102,6,12.8,1.5,230,162,0.01,NA,NA,NA,1964,Winter,7
Deschutes River at Deschutes River Park,1964-06-09,8,106,15,10.8,0.7,45,122,0.008,NA,NA,NA,1964,Spring,161
Deschutes River at Deschutes River Park,1964-08-19,8.4,103,19,9.7,0.4,230,126,0.055,NA,NA,NA,1964,Summer,232
Deschutes River at Deschutes River Park,1964-11-09,7.9,102,9,11.8,1.9,230,122,0.008,NA,NA,NA,1964,Fall,314
Deschutes River at Deschutes River Park,1965-03-08,7.8,101,8,12.3,1.4,700,118,0.005,NA,NA,NA,1965,Winter,67
Deschutes River at Deschutes River Park,1965-05-11,8.4,97,9,11.3,1.7,62,72,0.037,NA,NA,NA,1965,Spring,131
Deschutes River at Deschutes River Park,1965-08-23,8.1,92,16,9.2,4.1,7000,787,0.05,NA,NA,NA,1965,Summer,235
Deschutes River at Deschutes River Park,1965-10-04,8.3,101,12,10.9,2.1,230,100,0.013,NA,NA,NA,1965,Fall,277
Deschutes River at Deschutes River Park,1966-03-22,8.2,102,6,12.7,1.9,700,128,0.012,NA,NA,NA,1966,Spring,81
