"","Year","Number of Captured Wild Summer Steelhead","Number of Captured Round Butte Hatchery Summer Steelhead","Number of Captured Stray Hatchery Summer Steelhead","Total Number of Captured Hatchery Summer Steelhead","Estimated Wild Summer Steelhead","Estimated Round Butte Hatchery Summer Steelhead","Estimated Stray Hatchery Summer Steelhead","Estimated Total Hatchery Summer Steelhead"
"1",1977,673,NA,NA,744,6600,6100,900,7000
"2",1978,437,NA,NA,772,2800,3200,300,3500
"3",1979,386,NA,NA,1142,4200,5400,600,6000
"4",1980,461,NA,NA,1102,4100,5500,500,6000
"5",1981,686,NA,NA,778,6900,3800,1200,5000
"6",1982,362,NA,NA,320,6567,3524,1249,4773
"7",1983,417,NA,NA,934,8228,7250,7684,15443
"8",1984,238,NA,NA,422,7721,7563,3824,11770
"9",1985,364,NA,NA,767,9624,7382,5056,12106
"10",1986,412,NA,NA,1424,6207,9064,9803,18358
"11",1987,372,NA,NA,785,5367,9209,8367,17623
"12",1988,374,665,324,992,3546,3849,2909,6336
"13",1989,455,521,776,1287,4278,2758,3659,6504
"14",1990,294,352,448,801,3653,1990,2852,4786
"15",1991,293,417,861,1278,4826,3778,8409,11859
"16",1992,196,506,614,1120,904,2539,4261,6008
"17",1993,190,196,795,991,1487,1159,4293,5476
"18",1994,55,118,280,398,482,1781,4391,6126
"19",1995,184,458,1308,1766,1662,2708,11855,12828
"20",1996,299,649,1662,2311,3458,5932,23618,28416
"21",1997,166,280,936,1218,1820,5042,17703,22511
"22",1998,391,423,1220,1645,3800,3527,11110,15120
"23",1999,695,465,1474,1939,4790,2628,13785,15219
"24",2000,931,483,1147,1635,8985,4380,15072,19310
"25",2001,957,1262,2642,3904,8749,9373,25263,31784
"26",2002,867,1354,1982,3336,9363,8880,15203,23004
"27",2003,590,812,940,1755,5524,5265,6543,11551
"28",2004,293,440,543,916,3161,4354,4972,9356
"29",2005,372,790,670,1562,3432,5868,4838,10497
"30",2006,578,800,2099,2605,3986,6589,19189,25945
"31",2007,486,NA,NA,1612,3482,6120,7929,15641
"32",2008,504,NA,NA,1561,4048,5497,9498,16038
"33",2009,964,NA,NA,2748,4236,9557,15768,25587
"34",2010,813,NA,NA,1401,7257,4799,5101,9900
"35",2011,500,NA,NA,1255,5450,4063,5363,10324
"36",2012,295,NA,NA,747,3749,4903,4336,10496
"37",2013,343,NA,NA,781,3677,2523,2884,5469
"38",2014,529,NA,NA,992,5358,3154,2002,5046
"39",2015,376,NA,NA,1370,2457,4293,1926,5954
"40",2016,105,NA,NA,540,1196,3224,553,3980
"41",2017,63,NA,NA,352,1487,2348,1039,3364
"42",2018,124,NA,NA,437,1605,2140,457,2723
"43",2019,176,NA,NA,296,1492,1328,1898,2798
