"","Date_time","Mean Temperature","Year","Season","SUMMER.STEELHEAD_Hatchery","SUMMER.STEELHEAD_Wild","SUMMER.STEELHEAD_RM","SUMMER.STEELHEAD_LM","SPRING.CHINOOK_Hachery","SPRING.CHINOOK_Wild","SPRING.CHINOOK_RM","SPRING.CHINOOK_LM","Sockeye_NoMark","Sockeye_RM","Sockeye_LM","Fall.Chinook","Bull.Trout","Rainbow.Trout","Total"
"1",2014-01-03,6.9,2014,"Winter",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,42
"2",2014-01-06,6.5,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,25
"3",2014-01-08,6.6,2014,"Winter",25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,40
"4",2014-01-10,6.7,2014,"Winter",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,24
"5",2014-01-13,6.9,2014,"Winter",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19,65
"6",2014-01-15,7,2014,"Winter",14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19
"7",2014-01-17,6.8,2014,"Winter",41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,79
"8",2014-01-21,6.5,2014,"Winter",18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,37
"9",2014-01-22,6.5,2014,"Winter",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17
"10",2014-01-24,6.2,2014,"Winter",12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,21
"11",2014-01-27,6.2,2014,"Winter",6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8
"12",2014-01-29,6.3,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,19
"13",2014-01-31,6.3,2014,"Winter",23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,26
"14",2014-02-03,6.6,2014,"Winter",35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,47
"15",2014-02-05,6.1,2014,"Winter",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,49
"16",2014-02-07,5.4,2014,"Winter",6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14
"17",2014-02-12,5.7,2014,"Winter",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,11
"18",2014-02-14,6.2,2014,"Winter",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19
"19",2014-02-17,6.4,2014,"Winter",46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,49,100
"20",2014-02-19,6.6,2014,"Winter",83,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,150
"21",2014-02-21,6.6,2014,"Winter",17,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,48
"22",2014-02-24,6.6,2014,"Winter",45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,71
"23",2014-02-26,6.5,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16
"24",2014-02-28,6.3,2014,"Winter",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,40
"25",2014-03-03,6.5,2014,"Winter",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18
"26",2014-03-05,6.6,2014,"Winter",21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27
"27",2014-03-07,7.3,2014,"Winter",31,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,48
"28",2014-03-10,7.7,2014,"Winter",63,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,110
"29",2014-03-12,7.6,2014,"Winter",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,50
"30",2014-03-14,7.7,2014,"Winter",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20
"31",2014-03-17,8.3,2014,"Winter",33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,66
"32",2014-03-19,8.3,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,32
"33",2014-03-21,8.1,2014,"Spring",7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15
"34",2014-03-24,8,2014,"Spring",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
"35",2014-03-26,8.3,2014,"Spring",18,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36
