Organization ID,Activity ID,Monitoring Location ID,Monitoring Location Name,Monitoring Location State,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Location Type,Activity Type,Activity Start Date,Activity Start Time,Project ID1,Project ID2,Project ID3,Activity Conducting Organization1,Relative Depth,Depth/Height,Depth/Height Unit,Top Depth/Height,Top Depth/Height Unit,Bottom Depth/Height,Bottom Depth/Height Measure Unit,Activity Media,Activity Comment,Sample Collection Method ID,Sample Collection Method Context,Sample Collection Method Name,Data Logger Line,Result Status,CAS #,Characteristic Name,Method Speciation,Sample Fraction,Result Value Type,Result Value,Result Unit,Laboratory Comment Code,Result Qualifier,Detection Condition,Detection Limit Type1,Detection Limit Value1,Detection Limit Unit1,Detection Limit Type2,Detection Limit Value2,Detection Limit Unit2,Result Comment,Precision,Bias,Confidence Interval,Upper Confidence Limit,Lower Confidence Limit,Substance Dilution Factor1,Analytical Method ID,Analytical Method Context,Analytical Method Name,Laboratory Name,Analysis Start Date
OREGONDEQ,19450001-6237-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-16-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6237-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-16-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,102,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6237-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-16-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,17,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6237-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-16-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,9.9,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6237-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,07-16-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6237,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,07-16-1962,12:00:01 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,620,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6564-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,10-08-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,11.5,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6564-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,10-08-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,14,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6564-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,10-08-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,111,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6564-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,10-08-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1.8,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
