"","Year","Proportion","Date_time","Month","Season","Fall Chinook","Hatchery Summer Steelhead","Wild Summer Steelhead","HSS"
"1",1997,70.9629975,1997-06-01,"June","Spring",NA,NA,NA,1218
"2",1998,88.5432476,1998-06-01,"June","Spring",0,NA,0,1645
"3",1999,86.3704077,1999-06-01,"June","Spring",NA,NA,NA,1939
"4",2000,84.0000369,2000-06-01,"June","Spring",0,0,1,1635
"5",2001,98.4197926,2001-06-01,"June","Spring",3,2,1,3904
"6",2002,66.8148486,2002-06-01,"June","Spring",2,0,0,3336
"7",2003,71.3580593,2003-06-01,"June","Spring",4,1,1,1755
"8",2004,96.8395454,2004-06-01,"June","Spring",1,3,0,916
"9",2005,92.2963347,2005-06-01,"June","Spring",NA,NA,1,1562
"10",2006,63.8518851,2006-06-01,"June","Spring",NA,NA,NA,2605
"11",2007,39.3580535,2007-06-01,"June","Spring",0,1,0,2126
"12",2008,40.345708,2008-06-01,"June","Spring",0,NA,NA,1561
"13",2009,45.2839805,2009-06-01,"June","Spring",NA,NA,NA,2748
"14",2010,34.419781,2010-06-01,"June","Spring",NA,NA,NA,1401
"15",2011,47.4568204,2011-06-01,"June","Spring",NA,NA,NA,1255
"16",2012,22.7654579,2012-06-01,"June","Spring",NA,NA,NA,747
