Date_time,Temperature,Discharge (cfs),Location,Year,Season,Julian
1952-03-11,7.8,6030,Madras,1952,Winter,71
1952-03-12,7.5,6140,Madras,1952,Winter,72
1952-03-13,7.5,6010,Madras,1952,Winter,73
1952-03-14,7.5,5890,Madras,1952,Winter,74
1952-03-15,7.5,5840,Madras,1952,Winter,75
1952-03-16,7.75,5860,Madras,1952,Winter,76
1952-03-17,8.05,5880,Madras,1952,Winter,77
1952-03-18,7.8,6000,Madras,1952,Winter,78
1952-03-19,7.5,6200,Madras,1952,Winter,79
1952-03-20,6.95,6000,Madras,1952,Spring,80
1952-03-21,7.5,5800,Madras,1952,Spring,81
1952-03-22,7.75,5600,Madras,1952,Spring,82
1952-03-23,8.600000000000001,5600,Madras,1952,Spring,83
1952-03-24,8.600000000000001,5880,Madras,1952,Spring,84
1952-03-25,9.15,6750,Madras,1952,Spring,85
1952-03-26,8.850000000000001,9050,Madras,1952,Spring,86
1952-03-27,8.3,11400,Madras,1952,Spring,87
1952-03-28,8.600000000000001,12300,Madras,1952,Spring,88
1952-03-29,8.35,11500,Madras,1952,Spring,89
1952-03-30,7.8,11100,Madras,1952,Spring,90
1952-03-31,7.5,9950,Madras,1952,Spring,91
1952-04-01,7.8,9050,Madras,1952,Spring,92
1952-04-02,8.35,8820,Madras,1952,Spring,93
1952-04-03,8.600000000000001,8740,Madras,1952,Spring,94
1952-04-04,9.15,9220,Madras,1952,Spring,95
1952-04-05,10,9640,Madras,1952,Spring,96
1952-04-06,10.6,10500,Madras,1952,Spring,97
1952-04-07,10,11600,Madras,1952,Spring,98
1952-04-08,9.15,12100,Madras,1952,Spring,99
1952-04-09,8.9,11300,Madras,1952,Spring,100
1952-04-10,9.15,9760,Madras,1952,Spring,101
1952-04-11,9.7,9340,Madras,1952,Spring,102
1952-04-12,9.7,9260,Madras,1952,Spring,103
1952-04-13,10.3,9150,Madras,1952,Spring,104
1952-04-14,9.7,9150,Madras,1952,Spring,105
1952-04-15,9.7,8980,Madras,1952,Spring,106
1952-04-16,9.7,8620,Madras,1952,Spring,107
1952-04-17,10.55,8240,Madras,1952,Spring,108
1952-04-18,11.399999999999999,8240,Madras,1952,Spring,109
1952-04-19,11.399999999999999,8380,Madras,1952,Spring,110
1952-04-20,10.25,8380,Madras,1952,Spring,111
1952-04-21,10,7630,Madras,1952,Spring,112
1952-04-22,10.55,6880,Madras,1952,Spring,113
1952-04-23,11.149999999999999,6590,Madras,1952,Spring,114
