"","Date_time","Mean Temperature","Year","Season","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Month"
"1",2014-01-03,6.9,2014,"Winter",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,42,"January"
"2",2014-01-06,6.5,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,25,"January"
"3",2014-01-08,6.6,2014,"Winter",25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,40,"January"
"4",2014-01-10,6.7,2014,"Winter",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,24,"January"
"5",2014-01-13,6.9,2014,"Winter",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19,65,"January"
"6",2014-01-15,7,2014,"Winter",14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19,"January"
"7",2014-01-17,6.8,2014,"Winter",41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,79,"January"
"8",2014-01-21,6.5,2014,"Winter",18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,37,"January"
"9",2014-01-22,6.5,2014,"Winter",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17,"January"
"10",2014-01-24,6.2,2014,"Winter",12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,21,"January"
"11",2014-01-27,6.2,2014,"Winter",6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,"January"
"12",2014-01-29,6.3,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,19,"January"
"13",2014-01-31,6.3,2014,"Winter",23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,26,"January"
"14",2014-02-03,6.6,2014,"Winter",35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,47,"February"
"15",2014-02-05,6.1,2014,"Winter",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,49,"February"
"16",2014-02-07,5.4,2014,"Winter",6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,"February"
"17",2014-02-12,5.7,2014,"Winter",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,11,"February"
"18",2014-02-14,6.2,2014,"Winter",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,"February"
"19",2014-02-17,6.4,2014,"Winter",46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,49,100,"February"
"20",2014-02-19,6.6,2014,"Winter",83,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,150,"February"
"21",2014-02-21,6.6,2014,"Winter",17,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,48,"February"
"22",2014-02-24,6.6,2014,"Winter",45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,71,"February"
"23",2014-02-26,6.5,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,"February"
"24",2014-02-28,6.3,2014,"Winter",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,40,"February"
"25",2014-03-03,6.5,2014,"Winter",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,"March"
"26",2014-03-05,6.6,2014,"Winter",21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27,"March"
"27",2014-03-07,7.3,2014,"Winter",31,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,48,"March"
"28",2014-03-10,7.7,2014,"Winter",63,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,110,"March"
"29",2014-03-12,7.6,2014,"Winter",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,50,"March"
"30",2014-03-14,7.7,2014,"Winter",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20,"March"
"31",2014-03-17,8.3,2014,"Winter",33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,66,"March"
"32",2014-03-19,8.3,2014,"Winter",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,32,"March"
"33",2014-03-21,8.1,2014,"Spring",7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,"March"
"34",2014-03-24,8,2014,"Spring",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,"March"
"35",2014-03-26,8.3,2014,"Spring",18,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,"March"
"36",2014-03-28,8.5,2014,"Spring",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,"March"
"37",2014-03-31,9,2014,"Spring",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,26,"March"
"38",2014-04-02,9,2014,"Spring",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,"April"
"39",2014-04-07,9.4,2014,"Spring",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"April"
"40",2014-04-09,9.7,2014,"Spring",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"April"
"41",2014-04-11,9.8,2014,"Spring",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"April"
"42",2014-04-14,9.7,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,"April"
"43",2014-04-16,10,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"April"
"44",2014-04-21,10.8,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"April"
"45",2014-04-23,10.9,2014,"Spring",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"April"
"46",2014-04-25,11.3,2014,"Spring",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"April"
"47",2014-04-28,11.3,2014,"Spring",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,"April"
"48",2014-04-30,11.4,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"April"
"49",2014-05-02,12,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,"May"
"50",2014-05-05,12.5,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,"May"
"51",2014-05-07,12.5,2014,"Spring",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,19,22,"May"
"52",2014-05-09,12.1,2014,"Spring",NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,26,"May"
"53",2014-05-12,12.5,2014,"Spring",NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,10,21,"May"
"54",2014-05-14,12.6,2014,"Spring",NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,6,22,"May"
"55",2014-05-16,12.7,2014,"Spring",NA,NA,NA,NA,26,2,NA,1,NA,NA,NA,NA,NA,8,37,"May"
"56",2014-05-19,13.2,2014,"Spring",NA,NA,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,3,22,"May"
"57",2014-05-21,13.4,2014,"Spring",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"May"
"58",2014-05-23,12.8,2014,"Spring",NA,NA,NA,NA,27,NA,1,NA,NA,NA,NA,NA,1,29,58,"May"
"59",2014-05-26,13.9,2014,"Spring",NA,NA,NA,NA,13,NA,2,2,NA,NA,NA,NA,NA,22,39,"May"
"60",2014-05-28,13.2,2014,"Spring",NA,NA,NA,NA,44,2,1,NA,NA,NA,NA,NA,1,27,75,"May"
"61",2014-05-30,13.7,2014,"Spring",NA,NA,NA,NA,38,NA,3,NA,NA,NA,NA,NA,NA,14,55,"May"
"62",2014-06-02,13.3,2014,"Spring",NA,NA,NA,NA,38,1,1,NA,NA,NA,NA,NA,NA,7,47,"June"
"63",2014-06-04,12.3,2014,"Spring",NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,5,20,"June"
"64",2014-06-06,12.3,2014,"Spring",NA,NA,NA,NA,21,1,NA,NA,NA,NA,NA,NA,1,3,26,"June"
"65",2014-06-09,12.8,2014,"Spring",NA,NA,NA,NA,34,NA,1,NA,NA,NA,NA,NA,NA,24,59,"June"
"66",2014-06-11,12.9,2014,"Spring",NA,NA,NA,NA,23,NA,1,NA,NA,NA,NA,NA,NA,21,45,"June"
