Date,SUMMER.STEELHEAD_Hatchery,SUMMER.STEELHEAD_Wild,SUMMER.STEELHEAD_RM,SUMMER.STEELHEAD_LM,SPRING.CHINOOK_Hachery,SPRING.CHINOOK_Wild,SPRING.CHINOOK_RM,SPRING.CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall.Chinook,Bull.Trout,Rainbow.Trout,Total,Year,Season,Month
2014-01-03,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,42,2014,Winter,January
2014-01-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,25,2014,Winter,January
2014-01-08,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,40,2014,Winter,January
2014-01-10,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,24,2014,Winter,January
2014-01-13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19,65,2014,Winter,January
2014-01-15,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19,2014,Winter,January
2014-01-17,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,79,2014,Winter,January
2014-01-21,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,37,2014,Winter,January
2014-01-22,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17,2014,Winter,January
2014-01-24,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,21,2014,Winter,January
2014-01-27,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,2014,Winter,January
2014-01-29,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,19,2014,Winter,January
2014-01-31,23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,26,2014,Winter,January
2014-02-03,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,47,2014,Winter,February
2014-02-05,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,49,2014,Winter,February
2014-02-07,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,2014,Winter,February
2014-02-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,11,2014,Winter,February
2014-02-14,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,2014,Winter,February
2014-02-17,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,49,100,2014,Winter,February
2014-02-19,83,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,150,2014,Winter,February
2014-02-21,17,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,48,2014,Winter,February
2014-02-24,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,71,2014,Winter,February
2014-02-26,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,2014,Winter,February
2014-02-28,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,40,2014,Winter,February
