2013 Rereg,,,,,
Date,Time,Temp oC,DO mg/L,DO sat (%),pH Units
1/1/13,0:00,6.85,11.28,97.4,7.53
1/1/13,1:00,6.83,11.35,97.9,7.53
1/1/13,2:00,6.83,11.29,97.4,7.53
1/1/13,3:00,6.82,11.29,97.4,7.53
1/1/13,4:00,6.80,11.27,97.2,7.53
1/1/13,5:00,6.77,11.26,97,7.52
1/1/13,6:00,6.75,11.27,97.1,7.52
1/1/13,7:00,6.69,11.25,96.7,7.51
1/1/13,8:00,6.67,11.25,96.7,7.51
1/1/13,9:00,6.67,11.26,96.8,7.49
1/1/13,10:00,6.68,11.22,96.5,7.49
1/1/13,11:00,6.73,11.31,97.3,7.51
1/1/13,12:00,6.78,11.41,98.3,7.53
1/1/13,13:00,6.80,11.43,98.6,7.54
1/1/13,14:00,6.82,11.51,99.3,7.56
1/1/13,15:00,6.85,11.53,99.5,7.58
1/1/13,16:00,6.85,11.49,99.2,7.58
1/1/13,17:00,6.85,11.42,98.6,7.59
1/1/13,18:00,6.83,11.45,98.8,7.58
1/1/13,19:00,6.81,11.36,98,7.57
1/1/13,20:00,6.79,11.32,97.6,7.56
1/1/13,21:00,6.78,11.38,98.1,7.55
1/1/13,22:00,6.77,11.33,97.6,7.55
1/1/13,23:00,6.77,11.28,97.2,7.54
1/2/13,0:00,6.76,11.29,97.2,7.54
1/2/13,1:00,6.75,11.29,97.2,7.54
1/2/13,2:00,6.73,11.27,97,7.53
1/2/13,3:00,6.74,11.27,97,7.54
1/2/13,4:00,6.74,11.25,96.8,7.53
1/2/13,5:00,6.70,11.27,96.9,7.53
1/2/13,6:00,6.69,11.24,96.6,7.52
1/2/13,7:00,6.67,11.25,96.7,7.51
1/2/13,8:00,6.63,11.27,96.8,7.5
1/2/13,9:00,6.63,11.28,96.8,7.5
1/2/13,10:00,6.64,11.27,96.8,7.5
1/2/13,11:00,6.69,11.33,97.4,7.52
1/2/13,12:00,6.75,11.4,98.1,7.54
1/2/13,13:00,6.77,11.44,98.5,7.55
1/2/13,14:00,6.79,11.49,99.1,7.57
1/2/13,15:00,6.81,11.49,99.1,7.58
1/2/13,16:00,6.80,11.43,98.6,7.59
1/2/13,17:00,6.79,11.43,98.6,7.59
1/2/13,18:00,6.77,11.42,98.4,7.58
1/2/13,19:00,6.74,11.41,98.2,7.57
1/2/13,20:00,6.72,11.41,98.2,7.56
1/2/13,21:00,6.71,11.39,98,7.55
1/2/13,22:00,6.68,11.34,97.5,7.53
1/2/13,23:00,6.68,11.33,97.4,7.53
1/3/13,0:00,6.65,11.33,97.3,7.52
1/3/13,1:00,6.64,11.37,97.6,7.52
1/3/13,2:00,6.64,11.33,97.3,7.52
1/3/13,3:00,6.65,11.27,96.8,7.52
1/3/13,4:00,6.60,11.3,96.9,7.52
1/3/13,5:00,6.58,11.25,96.5,7.51
1/3/13,6:00,6.55,11.3,96.8,7.51
1/3/13,7:00,6.52,11.3,96.7,7.49
1/3/13,8:00,6.50,11.23,96.1,7.48
1/3/13,9:00,6.48,11.18,95.6,7.47
1/3/13,10:00,6.49,11.23,96.1,7.47
1/3/13,11:00,6.57,11.41,97.8,7.49
1/3/13,12:00,6.63,11.5,98.7,7.53
1/3/13,13:00,6.66,11.48,98.6,7.55
