Location,Date_time,Conductivity in μS/cm,Dissolved Oxygen in %,Dissolved Oxygen in mg/L,pH in NA,Temperature
Reregulating Dam,2015-02-23T00:00:00Z,NA,NA,13.7,7.56,7.64
Reregulating Dam,2015-04-20T00:00:00Z,NA,NA,12.14,8.39,10.13
Reregulating Dam,2015-05-04T00:00:00Z,NA,NA,14.69,9.02,11.22
Reregulating Dam,2015-05-18T00:00:00Z,NA,100.2,10.82,8.73,12.1
Reregulating Dam,2015-06-01T00:00:00Z,NA,94.2,9.91,8.53,13.1
Reregulating Dam,2015-06-15T00:00:00Z,NA,88.5,9.35,6.99,12.61
Reregulating Dam,2015-07-07T00:00:00Z,84,86.8,8.71,9.82,15.2
Reregulating Dam,2015-07-20T00:00:00Z,87.5,72.3,7.67,8.7,12.8
Reregulating Dam,2015-08-03T00:00:00Z,NA,70.1,7.32,8.99,13.4
Reregulating Dam,2015-08-17T00:00:00Z,NA,78.5,8.06,8.29,14.2
Reregulating Dam,2015-08-31T00:00:00Z,118,67.6,7.13,7.32,13
Reregulating Dam,2015-09-14T00:00:00Z,124,72,7.55,8.14,13.2
Reregulating Dam,2015-10-19T00:00:00Z,119.3,93.5,9.24,8.45,12.5
Reregulating Dam,2015-12-17T00:00:00Z,125.8,107.6,11.69,8.47,8.41
Reregulating Dam,2016-02-23T00:00:00Z,119.4,89,10.48,8.18,7.85
Reregulating Dam,2016-04-18T00:00:00Z,133.4,106.8,11.09,8.33,10.76
Reregulating Dam,2016-05-02T00:00:00Z,134.9,108.5,10.99,8.38,11.56
Reregulating Dam,2016-05-16T00:00:00Z,121.2,109.1,10.85,8.29,12.45
Reregulating Dam,2016-06-06T00:00:00Z,121.9,110.2,10.62,8.63,13.38
Reregulating Dam,2016-06-20T00:00:00Z,117.2,102,10.3,8.48,11.85
Reregulating Dam,2016-07-07T00:00:00Z,121.9,85.8,8.94,8.86,13.48
Reregulating Dam,2016-07-18T00:00:00Z,117.4,81.9,8.72,8.22,12.52
Reregulating Dam,2016-08-01T00:00:00Z,121.9,76.7,7.99,8.34,13.5
Reregulating Dam,2016-08-15T00:00:00Z,94.7,77.6,8.15,8.31,13.21
Reregulating Dam,2016-09-09T00:00:00Z,113.9,70.6,7.47,7.99,12.82
Reregulating Dam,2016-09-22T00:00:00Z,111.6,95.4,10.08,7.87,12.85
Reregulating Dam,2016-10-17T00:00:00Z,117.4,100.1,10.74,8.51,12.15
Reregulating Dam,2017-06-12T00:00:00Z,66.3,97.1,10.22,8.63,13.12
Reregulating Dam,2017-07-11T00:00:00Z,116.9,89.4,9.19,8.64,14.11
Reregulating Dam,2017-08-16T00:00:00Z,110,80,8.49,8.17,12.65
Reregulating Dam,2017-09-13T00:00:00Z,107.8,95.9,10.19,8.14,12.58
Dry Creek,2015-02-23T00:00:00Z,NA,NA,13.56,8.46,8.26
Dry Creek,2015-04-20T00:00:00Z,NA,NA,12.16,8.48,11.9
Dry Creek,2015-05-04T00:00:00Z,NA,NA,14.16,9.03,12.95
Dry Creek,2015-05-18T00:00:00Z,NA,107.7,11.25,8.74,13.5
Dry Creek,2015-06-01T00:00:00Z,NA,103.5,10.59,8.64,14.3
Dry Creek,2015-06-15T00:00:00Z,NA,109.1,11.02,7.36,14.51
Dry Creek,2015-07-06T00:00:00Z,NA,108.9,10.65,6.7,15.93
Dry Creek,2015-07-20T00:00:00Z,72.5,107.6,11.04,9.14,14.2
Dry Creek,2015-08-03T00:00:00Z,NA,89.5,9.28,8.27,13.7
Dry Creek,2015-08-18T00:00:00Z,NA,106.7,10.67,8.85,15.4
Dry Creek,2015-08-31T00:00:00Z,118,97.1,9.94,7.98,14.3
Dry Creek,2015-09-14T00:00:00Z,124,96.5,9.95,8.72,14
Dry Creek,2015-10-19T00:00:00Z,120,108.8,10.62,8.7,12.98
Dry Creek,2015-12-10T00:00:00Z,118.4,108.4,11.38,8.4,8.92
Dry Creek,2016-02-23T00:00:00Z,119.8,91.1,10.76,7.98,7.77
Dry Creek,2016-04-18T00:00:00Z,132.4,119.2,12.1,8.64,11.93
Dry Creek,2016-05-02T00:00:00Z,133.3,123.5,12.15,8.6,12.9
Dry Creek,2016-05-16T00:00:00Z,120.3,118.8,11.51,8.68,13.59
Dry Creek,2016-06-06T00:00:00Z,121,120.2,11.16,8.7,14.95
Dry Creek,2016-06-20T00:00:00Z,118.5,116.7,11.42,8.5,13.21
Dry Creek,2016-07-07T00:00:00Z,122.3,107.7,10.87,9.16,14.94
Dry Creek,2016-07-18T00:00:00Z,116.8,104.9,10.78,8.68,14.12
Dry Creek,2016-08-01T00:00:00Z,120.9,105.9,10.67,8.81,15.03
Dry Creek,2016-08-15T00:00:00Z,117,110.1,10.02,8.73,15.3
Dry Creek,2016-09-09T00:00:00Z,114.2,88.9,9.19,8.28,13.88
Dry Creek,2016-09-22T00:00:00Z,112.5,102,10.68,8.22,13.26
Dry Creek,2016-10-17T00:00:00Z,114.8,104.5,11.18,8.64,12.33
South Junction,2015-02-24T00:00:00Z,NA,NA,14.82,8.38,7.66
South Junction,2015-04-20T00:00:00Z,NA,NA,13.56,9.3,12.51
South Junction,2015-05-05T00:00:00Z,NA,NA,14.09,8.84,11.91
South Junction,2015-05-18T00:00:00Z,NA,109.9,11.24,8.85,14.5
South Junction,2015-06-01T00:00:00Z,NA,114.1,11.45,8.93,15.2
South Junction,2015-06-15T00:00:00Z,NA,120.3,11.8,7.78,15.89
South Junction,2015-07-06T00:00:00Z,NA,99.5,9.74,6.64,15.97
South Junction,2015-07-20T00:00:00Z,73.3,116.9,11.49,9.26,16.2
South Junction,2015-08-03T00:00:00Z,NA,103.6,10.48,8.36,14.9
South Junction,2015-08-18T00:00:00Z,NA,116.6,11.63,8.82,15.5
South Junction,2015-08-31T00:00:00Z,116,113.8,11.53,8.25,14.8
South Junction,2015-09-14T00:00:00Z,122,108.7,11.15,8.15,14.22
South Junction,2015-10-19T00:00:00Z,118.1,112.9,10.94,8.45,13.25
South Junction,2015-12-10T00:00:00Z,104.3,104.1,11.18,7.95,8.15
South Junction,2016-02-23T00:00:00Z,108,90,10.96,8.27,6.45
South Junction,2016-04-18T00:00:00Z,121.1,127.3,12.54,8.84,13.02
South Junction,2016-05-02T00:00:00Z,124.6,130.3,12.51,8.84,13.95
South Junction,2016-05-16T00:00:00Z,115.7,126.1,11.93,8.53,14.74
South Junction,2016-06-09T00:00:00Z,119.8,112,10.56,8.51,14.47
South Junction,2016-06-20T00:00:00Z,113.9,123.7,11.86,8.7,14.16
South Junction,2016-07-07T00:00:00Z,119,113.5,11.26,9.19,15.73
South Junction,2016-07-18T00:00:00Z,113.8,98.3,10.17,8.34,13.76
South Junction,2016-08-01T00:00:00Z,118.2,107.8,10.63,8.77,16.03
South Junction,2016-08-15T00:00:00Z,115.9,106.6,10.36,8.82,16.72
South Junction,2016-09-09T00:00:00Z,112.2,108.1,11.06,8.48,14.28
